Caller Type,Caller Type Words,Caller Tag,Caller Tag Words,Caller Method,Caller Method Words,Caller Super Types,Calling Super Types Words,Called  Type,Called Type Words,Called  Tagged Type,Called Tagged Type Words,Called Method,Called Method Words
comp533.mvc.ControllerImpl,controller:impl,@ControllerClass,controller:class,initSlaveThreads,slave:threads,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class,comp533.mvc.Model,model,@ModelClass,model:class,setNumThreads,set:num:threads
comp533.mvc.ViewImpl,view:impl,@ViewClass,view:class,propertyChange,property:change,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,tracePropertyChange,trace:property:change
comp533.factory.PartitionerImpl,partitioner:impl,@PartitionerClass,partitioner:class,getInstance,get:instance,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class,comp533.factory.PartitionerImpl,partitioner:impl,@PartitionerClass,partitioner:class,PartitionerImpl,partitioner:impl
comp533.factory.PartitionerImpl,partitioner:impl,@PartitionerClass,partitioner:class,getPartition,get:partition,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class,String,string,java.lang.String,string,length,length
comp533.factory.PartitionerImpl,partitioner:impl,@PartitionerClass,partitioner:class,getPartition,get:partition,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class,String,string,java.lang.String,string,charAt,char:at
comp533.factory.PartitionerImpl,partitioner:impl,@PartitionerClass,partitioner:class,getPartition,get:partition,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class,Character,character,java.lang.Character,character,isLetter,is:letter
comp533.factory.PartitionerImpl,partitioner:impl,@PartitionerClass,partitioner:class,getPartition,get:partition,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class,Character,character,java.lang.Character,character,toLowerCase,to:lower:case
comp533.factory.PartitionerImpl,partitioner:impl,@PartitionerClass,partitioner:class,getPartition,get:partition,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class,Math,math,java.lang.Math,math,ceil,none
comp533.factory.PartitionerImpl,partitioner:impl,@PartitionerClass,partitioner:class,getPartition,get:partition,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class,Math,math,java.lang.Math,math,floor,floor
comp533.factory.PartitionerImpl,partitioner:impl,@PartitionerClass,partitioner:class,getPartition,get:partition,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,tracePartitionAssigned,trace:partition:assigned
comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,run,run,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass:AMapReduceTracer:@SlaveClass:Runnable,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class:a:map:reduce:tracer:slave:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceDequeueRequest,trace:request
comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,run,run,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass:AMapReduceTracer:@SlaveClass:Runnable,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class:a:map:reduce:tracer:slave:class,comp533.mvc.Model,model,@ModelClass,model:class,getKeyValueQueue,get:key:value:queue
comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,run,run,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass:AMapReduceTracer:@SlaveClass:Runnable,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class:a:map:reduce:tracer:slave:class,comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,take,take
comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,run,run,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass:AMapReduceTracer:@SlaveClass:Runnable,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class:a:map:reduce:tracer:slave:class,comp533.mvc.Model,model,@ModelClass,model:class,getKeyValueQueue,get:key:value:queue
comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,run,run,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass:AMapReduceTracer:@SlaveClass:Runnable,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class:a:map:reduce:tracer:slave:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceDequeue,trace
comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,run,run,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass:AMapReduceTracer:@SlaveClass:Runnable,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class:a:map:reduce:tracer:slave:class,comp533.KeyValue,key:value,@KeyValueClass,key:value:class,getKey,get:key
comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,run,run,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass:AMapReduceTracer:@SlaveClass:Runnable,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class:a:map:reduce:tracer:slave:class,comp533.factory.Reducer,reducer,@ReducerClass,reducer:class,reduce,reduce
comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,run,run,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass:AMapReduceTracer:@SlaveClass:Runnable,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class:a:map:reduce:tracer:slave:class,java.util.List,list,java.util.List,list,clear,clear
comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,run,run,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass:AMapReduceTracer:@SlaveClass:Runnable,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class:a:map:reduce:tracer:slave:class,comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,partitionMap,partition:map
comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,run,run,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass:AMapReduceTracer:@SlaveClass:Runnable,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class:a:map:reduce:tracer:slave:class,comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,slaveWait,slave:wait
comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,run,run,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass:AMapReduceTracer:@SlaveClass:Runnable,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class:a:map:reduce:tracer:slave:class,java.util.List,list,java.util.List,list,add,add
comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,slaveWait,slave:wait,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass:AMapReduceTracer:@SlaveClass:Runnable,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class:a:map:reduce:tracer:slave:class,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,gradingTools.comp533s19.assignment0.AMapReduceTracer,a:map:reduce:tracer,traceWait,trace:wait
comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,slaveWait,slave:wait,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass:AMapReduceTracer:@SlaveClass:Runnable,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class:a:map:reduce:tracer:slave:class,java.lang.Object,object,java.lang.Object,object,wait,wait
comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,slaveWait,slave:wait,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass:AMapReduceTracer:@SlaveClass:Runnable,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class:a:map:reduce:tracer:slave:class,InterruptedException,interrupted:exception,java.lang.InterruptedException,interrupted:exception,printStackTrace,print:stack:trace
comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,partitionMap,partition:map,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass:AMapReduceTracer:@SlaveClass:Runnable,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class:a:map:reduce:tracer:slave:class,comp533.factory.PartitionerFactory,partitioner:factory,@PartitionerFactory,partitioner:factory,getPartitioner,get:partitioner
comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,partitionMap,partition:map,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass:AMapReduceTracer:@SlaveClass:Runnable,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class:a:map:reduce:tracer:slave:class,comp533.mvc.Model,model,@ModelClass,model:class,getReductionQueueList,get:reduction:queue:list
comp533.SlaveImpl,slave:impl,@SlaveClass,slave:class,partitionMap,partition:map,MapReduceConfiguration:AMapReduceTracer:@JoinerClass:AMapReduceTracer:@ControllerClass:AMapReduceTracer:@ViewClass:PropertyChangeListener:EventListener:AMapReduceTracer:@PartitionerClass:AMapReduceTracer:@SlaveClass:Runnable,map:reduce:configuration:a:map:reduce:tracer:joiner:class:a:map:reduce:tracer:controller:class:a:map:reduce:tracer:view:class:property:change:listener:event:listener:a:map:reduce:tracer:partitioner:class:a:map:reduce:tracer:slave:class,java.util.Map,map,java.util.Map,map,entrySet,entry:set
